epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7604,3.56429,3.89674,4.14297,0.00036,0.05751,0.00024,8e-05,3.49429,4.44285,4.17904,0.000407407,0.000407407,0.000407407
2,68.0929,2.63715,2.56062,3.25893,0.00122,0.07975,0.0007,0.00021,3.13508,3.96855,3.94988,0.000815916,0.000815916,0.000815916
3,89.0278,2.05775,2.05729,2.54584,0.47194,0.22402,0.37267,0.169,2.12831,2.56175,2.82137,0.00121617,0.00121617,0.00121617
4,110.429,1.71921,1.78343,2.16319,0.60094,0.63196,0.63079,0.42433,1.26376,1.33355,1.93889,0.00121287,0.00121287,0.00121287
5,131.57,1.51296,1.58808,1.94759,0.66502,0.63875,0.67706,0.49962,1.10101,1.13411,1.70841,0.0012005,0.0012005,0.0012005
6,153.594,1.28759,1.35519,1.71899,0.91753,0.65669,0.68592,0.54745,0.90767,1.04032,1.47454,0.00118812,0.00118812,0.00118812
7,174.798,1.21596,1.23592,1.62985,0.72647,0.66605,0.70134,0.5575,0.84288,0.92171,1.40449,0.00117575,0.00117575,0.00117575
8,194.825,1.15051,1.15492,1.54339,0.74585,0.74249,0.73822,0.58426,0.83634,0.88431,1.37065,0.00116337,0.00116337,0.00116337
9,215.458,1.06749,1.06438,1.48283,0.95829,0.68791,0.72407,0.59109,0.77593,0.88641,1.30765,0.001151,0.001151,0.001151
10,236.273,1.00246,1.0547,1.42024,0.74238,0.72805,0.73096,0.56698,0.86804,0.94947,1.3597,0.00113863,0.00113863,0.00113863
11,256.717,0.99243,1.01914,1.39418,0.74591,0.71398,0.74084,0.59771,0.78073,0.79821,1.29088,0.00112625,0.00112625,0.00112625
12,277.544,0.98917,0.97793,1.38579,0.68921,0.76312,0.75627,0.61973,0.69733,0.8143,1.21434,0.00111388,0.00111388,0.00111388
13,298.361,0.98099,0.98269,1.38502,0.77012,0.77563,0.75225,0.61265,0.73086,0.75273,1.24832,0.0011015,0.0011015,0.0011015
14,319.284,0.94263,0.94014,1.35907,0.71387,0.78196,0.75599,0.62938,0.6661,0.72185,1.19257,0.00108913,0.00108913,0.00108913
15,340.677,0.91599,0.94482,1.32085,0.7239,0.7305,0.75166,0.62425,0.65415,0.7601,1.16014,0.00107675,0.00107675,0.00107675
16,362.214,0.8908,0.8733,1.29323,0.77093,0.79744,0.76942,0.64916,0.62356,0.66785,1.15004,0.00106437,0.00106437,0.00106437
17,383.143,0.87769,0.86791,1.2977,0.7683,0.74291,0.75772,0.63526,0.6041,0.68453,1.10151,0.001052,0.001052,0.001052
18,404.25,0.83661,0.83028,1.25317,0.7219,0.71492,0.76806,0.65257,0.57774,0.7785,1.10089,0.00103962,0.00103962,0.00103962
19,424.42,0.82529,0.8335,1.24267,0.74608,0.79572,0.76839,0.6543,0.58569,0.61119,1.10672,0.00102725,0.00102725,0.00102725
20,445.072,0.8208,0.7813,1.23414,0.81781,0.74965,0.78179,0.67226,0.56489,0.59007,1.07915,0.00101488,0.00101488,0.00101488
21,465.769,0.81005,0.77514,1.22737,0.78906,0.74503,0.77528,0.65978,0.57095,0.59523,1.07905,0.0010025,0.0010025,0.0010025
22,486.636,0.8314,0.80875,1.24478,0.7655,0.83724,0.78932,0.66697,0.58848,0.58342,1.08628,0.000990125,0.000990125,0.000990125
23,507.283,0.77523,0.74924,1.19193,0.73421,0.83227,0.79661,0.67535,0.57041,0.57479,1.07183,0.00097775,0.00097775,0.00097775
24,527.652,0.76178,0.76411,1.19514,0.76328,0.82439,0.77348,0.66599,0.54972,0.57609,1.06562,0.000965375,0.000965375,0.000965375
25,548.228,0.76005,0.7382,1.18642,0.80773,0.83937,0.81004,0.68377,0.5272,0.51354,1.04666,0.000953,0.000953,0.000953
26,568.821,0.7246,0.7016,1.16652,0.76232,0.84729,0.78331,0.67852,0.53154,0.52229,1.0486,0.000940625,0.000940625,0.000940625
27,589.717,0.7476,0.70627,1.18571,0.79995,0.85655,0.81031,0.69437,0.52519,0.5204,1.0366,0.00092825,0.00092825,0.00092825
28,611.302,0.72276,0.6754,1.14329,0.78564,0.82006,0.79673,0.6969,0.49919,0.49582,1.02837,0.000915875,0.000915875,0.000915875
29,632,0.7409,0.72691,1.17767,0.75774,0.8447,0.7858,0.69101,0.48499,0.50381,1.00865,0.0009035,0.0009035,0.0009035
30,652.427,0.71768,0.67139,1.14415,0.74066,0.81477,0.78771,0.68396,0.52096,0.58121,1.03826,0.000891125,0.000891125,0.000891125
31,672.656,0.70099,0.6673,1.14011,0.76864,0.86922,0.81574,0.71026,0.4744,0.47333,1.0012,0.00087875,0.00087875,0.00087875
32,692.906,0.67434,0.6517,1.10832,0.77049,0.80984,0.7945,0.69725,0.48341,0.50039,1.00748,0.000866375,0.000866375,0.000866375
33,712.874,0.70463,0.65121,1.1306,0.76148,0.81605,0.80652,0.6908,0.50008,0.56819,1.02259,0.000854,0.000854,0.000854
34,732.879,0.68251,0.64784,1.11301,0.80185,0.8276,0.80485,0.70027,0.51645,0.49009,1.02608,0.000841625,0.000841625,0.000841625
35,752.448,0.69442,0.64562,1.13032,0.79049,0.84007,0.80811,0.7027,0.49654,0.471,1.0082,0.00082925,0.00082925,0.00082925
36,772.509,0.65346,0.61753,1.10057,0.80167,0.81217,0.81187,0.70821,0.50567,0.47364,1.02363,0.000816875,0.000816875,0.000816875
37,793.452,0.65563,0.61045,1.09493,0.78411,0.85477,0.81379,0.70686,0.47931,0.44969,0.99286,0.0008045,0.0008045,0.0008045
38,813.318,0.66901,0.60436,1.10803,0.80164,0.83947,0.81331,0.70431,0.48831,0.44921,0.9957,0.000792125,0.000792125,0.000792125
39,833.177,0.64911,0.59748,1.10207,0.76538,0.8396,0.81315,0.70338,0.50367,0.4672,1.01041,0.00077975,0.00077975,0.00077975
40,854.014,0.64972,0.59371,1.09291,0.78161,0.84561,0.81646,0.71819,0.44138,0.44195,0.97536,0.000767375,0.000767375,0.000767375
41,874.161,0.636,0.56468,1.08183,0.78978,0.83528,0.80727,0.71632,0.44637,0.44354,0.97845,0.000755,0.000755,0.000755
42,894.383,0.63397,0.57444,1.08519,0.8112,0.8588,0.83076,0.73247,0.45546,0.43655,0.99109,0.000742625,0.000742625,0.000742625
